X	Y	Red	Green	Blue
1623	1219	179	136	127
1624	1219	181	138	129
1625	1219	183	140	131
1626	1219	181	138	131
1627	1219	179	136	129
1628	1219	179	136	129
1629	1219	177	134	127
1630	1219	176	133	124
1631	1219	177	134	127
1632	1219	178	133	127
1633	1219	176	131	126
1634	1219	174	127	119
1635	1219	180	133	125
1636	1219	182	138	127
1637	1219	186	142	133
1638	1219	186	142	133
1639	1219	183	138	132
1640	1219	183	138	132
1641	1219	181	136	130
1642	1219	180	136	125
1643	1219	182	138	127
1644	1219	182	138	127
1645	1219	183	136	126
1646	1219	183	136	128
1647	1219	184	135	128
1648	1219	185	138	130
1649	1219	185	138	130
1650	1219	182	140	128
1651	1219	181	139	127
1652	1219	184	142	130
1653	1219	182	138	127
1654	1219	182	138	129
1655	1219	185	138	130
1656	1219	180	136	125
1657	1219	183	139	128
1658	1219	188	142	129
1659	1219	185	139	126
1660	1219	186	140	127
1661	1219	186	139	129
1662	1219	182	135	125
1663	1219	171	124	116
1664	1219	175	128	120
1665	1219	179	132	124
1666	1219	182	137	131
1667	1219	181	136	130
1668	1219	165	120	115
1669	1219	177	132	127
1670	1219	184	136	134
1671	1219	185	137	135
1672	1219	184	136	132
1673	1219	182	134	130
1674	1219	180	135	129
1675	1219	182	137	131
1676	1219	182	139	132
1677	1219	184	141	134
1678	1219	182	139	132
1679	1219	180	137	130
1680	1219	177	137	125
1681	1219	163	123	111
1682	1219	168	125	116
1683	1219	183	140	131
1684	1219	184	139	133
1685	1219	179	134	128
1686	1219	182	135	127
1687	1219	184	137	129
1688	1219	186	139	129
1689	1219	186	139	129
1690	1219	185	138	130
1691	1219	183	136	128
1692	1219	181	134	128
1693	1219	179	132	126
1694	1219	181	134	124
1695	1219	183	136	126
1696	1219	184	140	131
1697	1219	182	138	129
1698	1219	184	139	133
1699	1219	184	139	133
1700	1219	181	136	130
1701	1219	177	132	126
1702	1219	176	132	121
1703	1219	184	140	129
1704	1219	185	143	129
1705	1219	180	138	126
1706	1219	181	141	129
1707	1219	181	141	131
1708	1219	181	138	129
1709	1219	180	137	128
1710	1219	182	138	125
1711	1219	179	135	122
1712	1219	185	141	128
1713	1219	183	139	128
1714	1219	184	140	129
1715	1219	182	138	129
1716	1219	181	137	128
1717	1219	184	140	131
1718	1219	185	138	128
1719	1219	185	138	128
1720	1219	182	135	127
1721	1219	183	136	130
1722	1219	188	143	137
1723	1219	184	139	134
1724	1219	181	138	131
1725	1219	183	140	133
1726	1219	181	139	127
1727	1219	182	140	128
1728	1219	185	141	132
1729	1219	185	141	132
1730	1219	180	136	127
1731	1219	180	136	127
1732	1219	186	142	133
1733	1219	179	135	126
1734	1219	179	132	124
1735	1219	186	139	131
1736	1219	188	141	133
1737	1219	182	135	127
1738	1219	184	137	129
1739	1219	183	136	128
1740	1219	177	133	122
1741	1219	181	137	126
1742	1219	181	139	127
1743	1219	177	135	123
1744	1219	178	134	125
1745	1219	184	140	131
1746	1219	182	139	130
1747	1219	179	136	127
1748	1219	182	139	130
1749	1219	187	144	135
1750	1219	187	143	134
1751	1219	191	147	138
1752	1219	192	145	139
1753	1219	187	140	134
1754	1219	188	141	135
1755	1219	186	139	133
1756	1219	186	139	133
1757	1219	187	140	134
1758	1219	184	137	129
1759	1219	188	141	135
1760	1219	184	137	131
1761	1219	182	134	130
1762	1219	181	136	131
1763	1219	172	127	122
1764	1219	164	119	114
1765	1219	180	135	130
1766	1219	180	136	127
1767	1219	181	137	128
1768	1219	181	137	128
1769	1219	180	136	127
1770	1219	183	136	130
1771	1219	184	137	131
1772	1219	185	138	132
1773	1219	181	134	128
1774	1219	181	133	129
1775	1219	183	135	131
1776	1219	177	128	121
1777	1219	180	131	124
1778	1219	183	136	128
1779	1219	187	140	132
1780	1219	186	141	135
1781	1219	194	149	143
1782	1219	188	143	137
1783	1219	179	134	128
1784	1219	176	131	125
1785	1219	181	136	130
1786	1219	183	139	130
1787	1219	180	136	127
1788	1219	182	138	129
1789	1219	183	139	130
1790	1219	184	141	132
1791	1219	184	141	132
1792	1219	174	130	121
1793	1219	174	130	121
1794	1219	177	133	124
1795	1219	181	137	128
1796	1219	181	138	129
1797	1219	185	142	133
1798	1219	187	143	134
1799	1219	184	140	131
1800	1219	185	141	132
1801	1219	181	137	128
1802	1219	181	137	126
1803	1219	184	140	129
1804	1219	184	140	129
1805	1219	183	139	128
1806	1219	185	141	132
1807	1219	184	140	131
1808	1219	182	138	129
1809	1219	180	136	127
1810	1219	180	136	125
1811	1219	182	138	127
1812	1219	188	144	135
1813	1219	189	145	136
1814	1219	180	137	130
1815	1219	178	135	128
