X	Y	Red	Green	Blue
1582	471	191	191	191
1583	471	189	189	189
1584	471	189	189	191
1585	471	189	189	191
1586	471	189	189	191
1587	471	186	186	188
1588	471	190	190	192
1589	471	194	194	196
1590	471	190	190	192
1591	471	188	188	190
1592	471	189	189	189
1593	471	189	189	189
1594	471	186	186	186
1595	471	187	187	187
1596	471	190	190	190
1597	471	190	190	190
1598	471	190	190	190
1599	471	190	190	190
1600	471	190	190	190
1601	471	191	191	191
1602	471	192	192	192
1603	471	190	190	190
1604	471	189	189	189
1605	471	190	190	190
1606	471	189	189	189
1607	471	190	190	190
1608	471	190	190	192
1609	471	190	190	192
1610	471	190	190	192
1611	471	189	189	191
1612	471	190	190	192
1613	471	189	189	191
1614	471	189	189	189
1615	471	189	189	189
1616	471	189	189	189
1617	471	189	189	189
1618	471	190	190	190
1619	471	190	190	190
1620	471	189	189	189
1621	471	194	194	194
1622	471	194	194	194
1623	471	191	191	191
1624	471	191	191	191
1625	471	193	193	193
1626	471	191	191	191
1627	471	191	191	191
1628	471	191	191	191
1629	471	188	188	188
1630	471	191	191	191
1631	471	193	193	193
1632	471	194	194	192
1633	471	190	190	190
1634	471	192	192	192
1635	471	189	189	191
1636	471	191	191	191
1637	471	195	195	195
1638	471	194	194	192
1639	471	192	192	190
1640	471	192	192	192
1641	471	191	191	191
1642	471	191	191	193
1643	471	191	191	193
1644	471	188	188	188
1645	471	190	190	190
1646	471	188	188	190
1647	471	189	189	191
1648	471	190	190	190
1649	471	189	189	189
1650	471	189	189	189
1651	471	190	190	190
1652	471	191	191	191
1653	471	191	191	191
1654	471	190	190	190
1655	471	189	189	189
1656	471	190	190	192
1657	471	188	188	190
1658	471	190	190	192
1659	471	189	189	191
1660	471	189	189	189
1661	471	190	190	190
1662	471	189	189	189
1663	471	189	189	189
1664	471	189	189	189
1665	471	192	192	192
1666	471	194	194	194
1667	471	192	192	192
1668	471	189	189	189
1669	471	189	189	189
1670	471	191	191	191
1671	471	193	193	193
1672	471	191	191	191
1673	471	193	193	193
1674	471	191	191	193
1675	471	191	191	193
1676	471	191	191	193
1677	471	191	191	193
1678	471	193	193	195
1679	471	189	189	191
1680	471	187	186	191
1681	471	189	188	193
1682	471	191	191	193
1683	471	191	191	193
1684	471	189	189	189
1685	471	191	191	191
1686	471	189	189	189
1687	471	190	190	190
1688	471	191	191	193
1689	471	188	188	190
1690	471	191	190	195
1691	471	189	188	193
1692	471	188	187	192
1693	471	188	187	192
1694	471	188	187	192
1695	471	188	187	192
1696	471	186	186	186
1697	471	188	188	188
1698	471	190	190	190
1699	471	188	188	188
1700	471	188	188	188
1701	471	190	190	190
1702	471	187	187	187
1703	471	182	182	182
1704	471	186	186	186
1705	471	188	188	188
1706	471	188	188	188
1707	471	188	188	188
1708	471	189	189	189
1709	471	187	187	187
1710	471	184	184	186
1711	471	187	187	189
1712	471	190	190	192
1713	471	190	190	192
1714	471	188	188	188
1715	471	187	187	187
1716	471	191	191	191
1717	471	190	190	190
1718	471	192	192	192
1719	471	192	192	192
1720	471	189	189	191
1721	471	187	187	189
1722	471	192	191	196
1723	471	194	193	198
1724	471	192	192	194
1725	471	190	190	192
1726	471	186	186	188
1727	471	185	185	187
1728	471	189	189	189
1729	471	189	189	189
1730	471	189	189	189
1731	471	190	190	190
1732	471	189	189	189
1733	471	188	188	188
1734	471	189	189	187
1735	471	191	191	189
1736	471	191	191	189
1737	471	190	190	188
1738	471	188	188	188
1739	471	189	189	189
1740	471	190	190	190
1741	471	190	190	190
1742	471	191	191	193
1743	471	191	191	193
1744	471	192	192	194
1745	471	191	191	193
1746	471	191	191	191
1747	471	187	187	187
1748	471	190	190	190
1749	471	190	190	190
1582	472	187	187	185
1583	472	189	189	189
1584	472	190	190	190
1585	472	188	188	190
1586	472	189	189	191
1587	472	186	186	188
1588	472	190	190	192
1589	472	193	193	195
1590	472	190	190	190
1591	472	187	187	187
1592	472	188	188	188
1593	472	186	186	186
1594	472	186	186	186
1595	472	184	184	184
1596	472	185	185	185
1597	472	188	188	188
1598	472	188	188	188
1599	472	190	190	190
1600	472	191	191	193
1601	472	188	188	190
1602	472	191	193	192
1603	472	188	190	189
1604	472	188	190	189
1605	472	189	191	190
1606	472	188	190	189
1607	472	189	191	190
1608	472	190	190	192
1609	472	190	190	192
1610	472	191	189	194
1611	472	191	189	194
1612	472	191	191	193
1613	472	190	190	192
1614	472	190	190	190
1615	472	191	191	191
1616	472	190	190	190
1617	472	185	185	185
1618	472	189	189	189
1619	472	189	189	189
1620	472	190	190	190
1621	472	190	190	190
1622	472	191	191	191
1623	472	190	190	190
1624	472	192	192	192
1625	472	191	191	191
1626	472	193	193	193
1627	472	191	191	191
1628	472	191	191	191
1629	472	190	190	190
1630	472	191	191	191
1631	472	190	190	190
1632	472	191	191	193
1633	472	192	192	194
1634	472	191	191	191
1635	472	190	190	190
1636	472	191	191	191
1637	472	192	192	192
1638	472	191	191	191
1639	472	190	190	190
1640	472	192	192	192
1641	472	190	190	190
1642	472	191	191	191
1643	472	189	189	189
1644	472	189	189	189
1645	472	186	186	186
1646	472	185	185	185
1647	472	187	187	187
1648	472	189	189	189
1649	472	189	189	189
1650	472	190	190	190
1651	472	192	192	192
1652	472	192	192	192
1653	472	191	191	191
1654	472	189	189	191
1655	472	188	188	190
1656	472	190	190	192
1657	472	189	189	191
1658	472	191	191	191
1659	472	188	188	188
1660	472	188	188	188
1661	472	188	188	188
1662	472	190	190	192
1663	472	187	187	189
1664	472	188	187	192
1665	472	192	191	196
1666	472	194	194	196
1667	472	191	191	193
1668	472	190	190	190
1669	472	189	189	189
1670	472	191	191	189
1671	472	192	192	190
1672	472	193	193	191
1673	472	192	192	190
1674	472	192	192	192
1675	472	190	190	190
1676	472	190	190	192
1677	472	189	189	191
1678	472	192	191	196
1679	472	193	192	197
1680	472	190	190	192
1681	472	188	188	190
1682	472	191	191	193
1683	472	191	191	193
1684	472	192	192	192
1685	472	191	191	191
1686	472	193	193	193
1687	472	192	192	192
1688	472	192	192	194
1689	472	191	191	193
1690	472	191	190	195
1691	472	190	189	194
1692	472	190	190	192
1693	472	185	185	187
1694	472	187	187	187
1695	472	189	189	189
1696	472	191	191	193
1697	472	191	191	193
1698	472	191	191	193
1699	472	188	188	190
1700	472	189	189	191
1701	472	188	188	190
1702	472	186	186	188
1703	472	186	186	188
1704	472	189	189	189
1705	472	188	188	188
1706	472	189	189	189
1707	472	188	188	188
1708	472	188	188	188
1709	472	187	187	187
1710	472	187	187	187
1711	472	189	189	189
